"round","***6,q=0.5,niid - _step","***6,q=0.5,niid - _step__MIN","***6,q=0.5,niid - _step__MAX","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar__MAX","***6,q=0.1,niid - _step","***6,q=0.1,niid - _step__MIN","***6,q=0.1,niid - _step__MAX","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MAX","***6,q=0.01,niid - _step","***6,q=0.01,niid - _step__MIN","***6,q=0.01,niid - _step__MAX","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar__MAX","***4,q=0.1,niid - _step","***4,q=0.1,niid - _step__MIN","***4,q=0.1,niid - _step__MAX","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MIN","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MAX","***4, q=0.01,niid - _step","***4, q=0.01,niid - _step__MIN","***4, q=0.01,niid - _step__MAX","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar__MIN","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar__MAX","***4, q=0.5, niid - _step","***4, q=0.5, niid - _step__MIN","***4, q=0.5, niid - _step__MAX","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar__MIN","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar__MAX"
"32","96","96","96","2222675.660281132","2222675.660281132","2222675.660281132","96","96","96","693138.7387404451","693138.7387404451","693138.7387404451","96","96","96","83786.00138620766","83786.00138620766","83786.00138620766","96","96","96","410159.0205600303","410159.0205600303","410159.0205600303","96","96","96","46163.08616319981","46163.08616319981","46163.08616319981","96","96","96","1420592.0381955355","1420592.0381955355","1420592.0381955355"
"33","99","99","99","2218751.79795726","2218751.79795726","2218751.79795726","99","99","99","697447.2934490105","697447.2934490105","697447.2934490105","99","99","99","85478.64787885832","85478.64787885832","85478.64787885832","99","99","99","409928.20512921433","409928.20512921433","409928.20512921433","99","99","99","45855.332255445144","45855.332255445144","45855.332255445144","99","99","99","1420745.9151494128","1420745.9151494128","1420745.9151494128"
"34","102","102","102","2219521.182726647","2219521.182726647","2219521.182726647","102","102","102","693985.0619867705","693985.0619867705","693985.0619867705","102","102","102","84170.693770901","84170.693770901","84170.693770901","102","102","102","411390.036191049","411390.036191049","411390.036191049","102","102","102","46316.963117077146","46316.963117077146","46316.963117077146","102","102","102","1420668.9766724743","1420668.9766724743","1420668.9766724743"
"35","105","105","105","2216443.6436491003","2216443.6436491003","2216443.6436491003","105","105","105","687676.1068777998","687676.1068777998","687676.1068777998","105","105","105","84324.57072477831","84324.57072477831","84324.57072477831","105","105","105","408312.49711350235","408312.49711350235","408312.49711350235","105","105","105","46163.08616319981","46163.08616319981","46163.08616319981","105","105","105","1421592.2383957382","1421592.2383957382","1421592.2383957382"
"36","108","108","108","2218136.290141751","2218136.290141751","2218136.290141751","108","108","108","701755.8481575758","701755.8481575758","701755.8481575758","108","108","108","85170.89397110365","85170.89397110365","85170.89397110365","108","108","108","406927.60452860635","406927.60452860635","406927.60452860635","108","108","108","46547.77854789314","46547.77854789314","46547.77854789314","108","108","108","1421669.176872677","1421669.176872677","1421669.176872677"
"37","111","111","111","2215366.5049719587","2215366.5049719587","2215366.5049719587","111","111","111","696447.0932488078","696447.0932488078","696447.0932488078","111","111","111","85632.52483273565","85632.52483273565","85632.52483273565","111","111","111","409466.5742675823","409466.5742675823","409466.5742675823","111","111","111","46240.02464013848","46240.02464013848","46240.02464013848","111","111","111","1421592.2383957382","1421592.2383957382","1421592.2383957382"
"38","114","114","114","2218367.105572567","2218367.105572567","2218367.105572567","114","114","114","696524.0317257465","696524.0317257465","696524.0317257465","114","114","114","83709.06290926899","83709.06290926899","83709.06290926899","114","114","114","410774.52837553964","410774.52837553964","410774.52837553964","114","114","114","45316.76291687448","45316.76291687448","45316.76291687448","114","114","114","1416898.9913024795","1416898.9913024795","1416898.9913024795"
"39","117","117","117","2217213.028418487","2217213.028418487","2217213.028418487","117","117","117","700755.6479573732","700755.6479573732","700755.6479573732","117","117","117","85093.95549416498","85093.95549416498","85093.95549416498","117","117","117","407389.23539023835","407389.23539023835","407389.23539023835","117","117","117","46624.71702483181","46624.71702483181","46624.71702483181","117","117","117","1423207.9464114502","1423207.9464114502","1423207.9464114502"
"40","120","120","120","2220290.5674960334","2220290.5674960334","2220290.5674960334","120","120","120","698293.6166953358","698293.6166953358","698293.6166953358","120","120","120","84324.57072477831","84324.57072477831","84324.57072477831","120","120","120","408928.0049290117","408928.0049290117","408928.0049290117","120","120","120","46393.90159401581","46393.90159401581","46393.90159401581","120","120","120","1420976.7305802288","1420976.7305802288","1420976.7305802288"
"41","123","123","123","2219521.182726647","2219521.182726647","2219521.182726647","123","123","123","690907.5229092238","690907.5229092238","690907.5229092238","123","123","123","84786.20158641032","84786.20158641032","84786.20158641032","123","123","123","410235.959036969","410235.959036969","410235.959036969","123","123","123","46701.655501770474","46701.655501770474","46701.655501770474","123","123","123","1422130.8077343088","1422130.8077343088","1422130.8077343088"
"42","126","126","126","2221521.583127052","2221521.583127052","2221521.583127052","126","126","126","705602.7720045091","705602.7720045091","705602.7720045091","126","126","126","84940.07854028765","84940.07854028765","84940.07854028765","126","126","126","412313.297914313","412313.297914313","412313.297914313","126","126","126","46855.53245564781","46855.53245564781","46855.53245564781","126","126","126","1424515.9005194076","1424515.9005194076","1424515.9005194076"
"43","129","129","129","2214981.8125872654","2214981.8125872654","2214981.8125872654","129","129","129","692292.4154941199","692292.4154941199","692292.4154941199","129","129","129","84940.07854028765","84940.07854028765","84940.07854028765","129","129","129","411082.2822832943","411082.2822832943","411082.2822832943","129","129","129","46470.84007095448","46470.84007095448","46470.84007095448","129","129","129","1419514.8995183941","1419514.8995183941","1419514.8995183941"
"44","132","132","132","2222675.660281132","2222675.660281132","2222675.660281132","132","132","132","699986.2631879864","699986.2631879864","699986.2631879864","132","132","132","85401.70940191965","85401.70940191965","85401.70940191965","132","132","132","412159.42096043564","412159.42096043564","412159.42096043564","132","132","132","46393.90159401581","46393.90159401581","46393.90159401581","132","132","132","1423823.4542269595","1423823.4542269595","1423823.4542269595"
"45","135","135","135","2225137.6915431693","2225137.6915431693","2225137.6915431693","135","135","135","707910.9263126691","707910.9263126691","707910.9263126691","135","135","135","84632.32463253298","84632.32463253298","84632.32463253298","135","135","135","409928.20512921433","409928.20512921433","409928.20512921433","135","135","135","46393.90159401581","46393.90159401581","46393.90159401581","135","135","135","1423669.5772730822","1423669.5772730822","1423669.5772730822"
"46","138","138","138","2225137.6915431693","2225137.6915431693","2225137.6915431693","138","138","138","700294.0170957411","700294.0170957411","700294.0170957411","138","138","138","85478.64787885832","85478.64787885832","85478.64787885832","138","138","138","412621.05182206765","412621.05182206765","412621.05182206765","138","138","138","46778.59397870914","46778.59397870914","46778.59397870914","138","138","138","1421899.992303493","1421899.992303493","1421899.992303493"
"47","141","141","141","2214289.3662948175","2214289.3662948175","2214289.3662948175","141","141","141","693677.3080790158","693677.3080790158","693677.3080790158","141","141","141","86632.72503293831","86632.72503293831","86632.72503293831","141","141","141","409312.697313705","409312.697313705","409312.697313705","141","141","141","46778.59397870914","46778.59397870914","46778.59397870914","141","141","141","1430209.347812869","1430209.347812869","1430209.347812869"
"48","144","144","144","2224137.491342967","2224137.491342967","2224137.491342967","144","144","144","706910.7261124664","706910.7261124664","706910.7261124664","144","144","144","84632.32463253298","84632.32463253298","84632.32463253298","144","144","144","414775.3291763503","414775.3291763503","414775.3291763503","144","144","144","46163.08616319981","46163.08616319981","46163.08616319981","144","144","144","1425285.2852887942","1425285.2852887942","1425285.2852887942"
"49","147","147","147","2225984.0147894947","2225984.0147894947","2225984.0147894947","147","147","147","699447.6938494158","699447.6938494158","699447.6938494158","147","147","147","86171.09417130631","86171.09417130631","86171.09417130631","147","147","147","410082.08208309166","410082.08208309166","410082.08208309166","147","147","147","46547.77854789314","46547.77854789314","46547.77854789314","147","147","147","1426439.3624428741","1426439.3624428741","1426439.3624428741"
