"round","strict_12_q0.01 - _step","strict_12_q0.01 - _step__MIN","strict_12_q0.01 - _step__MAX","strict_12_q0.01 - length_unique","strict_12_q0.01 - length_unique__MIN","strict_12_q0.01 - length_unique__MAX","strict_12_q0.1 - _step","strict_12_q0.1 - _step__MIN","strict_12_q0.1 - _step__MAX","strict_12_q0.1 - length_unique","strict_12_q0.1 - length_unique__MIN","strict_12_q0.1 - length_unique__MAX","strict_12_q0.5 - _step","strict_12_q0.5 - _step__MIN","strict_12_q0.5 - _step__MAX","strict_12_q0.5 - length_unique","strict_12_q0.5 - length_unique__MIN","strict_12_q0.5 - length_unique__MAX","strict_8_q0.01 - _step","strict_8_q0.01 - _step__MIN","strict_8_q0.01 - _step__MAX","strict_8_q0.01 - length_unique","strict_8_q0.01 - length_unique__MIN","strict_8_q0.01 - length_unique__MAX","strict_8_q0.1 - _step","strict_8_q0.1 - _step__MIN","strict_8_q0.1 - _step__MAX","strict_8_q0.1 - length_unique","strict_8_q0.1 - length_unique__MIN","strict_8_q0.1 - length_unique__MAX","strict_8_q0.5 - _step","strict_8_q0.5 - _step__MIN","strict_8_q0.5 - _step__MAX","strict_8_q0.5 - length_unique","strict_8_q0.5 - length_unique__MIN","strict_8_q0.5 - length_unique__MAX","strict_4_q0.01 - _step","strict_4_q0.01 - _step__MIN","strict_4_q0.01 - _step__MAX","strict_4_q0.01 - length_unique","strict_4_q0.01 - length_unique__MIN","strict_4_q0.01 - length_unique__MAX","strict_4_q0.1 - _step","strict_4_q0.1 - _step__MIN","strict_4_q0.1 - _step__MAX","strict_4_q0.1 - length_unique","strict_4_q0.1 - length_unique__MIN","strict_4_q0.1 - length_unique__MAX","strict_4_q0.5 - _step","strict_4_q0.5 - _step__MIN","strict_4_q0.5 - _step__MAX","strict_4_q0.5 - length_unique","strict_4_q0.5 - length_unique__MIN","strict_4_q0.5 - length_unique__MAX"
"37","149","149","149","814","814","814","149","149","149","4388","4388","4388","149","149","149","6611","6611","6611","149","149","149","564","564","564","149","149","149","3730","3730","3730","149","149","149","6464","6464","6464","149","149","149","301","301","301","149","149","149","2483","2483","2483","149","149","149","6056","6056","6056"
"38","153","153","153","806","806","806","153","153","153","4429","4429","4429","153","153","153","6707","6707","6707","153","153","153","569","569","569","153","153","153","3694","3694","3694","153","153","153","6542","6542","6542","153","153","153","304","304","304","153","153","153","2472","2472","2472","153","153","153","6054","6054","6054"
"39","157","157","157","807","807","807","157","157","157","4477","4477","4477","157","157","157","6672","6672","6672","157","157","157","559","559","559","157","157","157","3666","3666","3666","157","157","157","6501","6501","6501","157","157","157","302","302","302","157","157","157","2484","2484","2484","157","157","157","6046","6046","6046"
"40","161","161","161","829","829","829","161","161","161","4395","4395","4395","161","161","161","6700","6700","6700","161","161","161","564","564","564","161","161","161","3692","3692","3692","161","161","161","6497","6497","6497","161","161","161","300","300","300","161","161","161","2479","2479","2479","161","161","161","6035","6035","6035"
"41","165","165","165","842","842","842","165","165","165","4431","4431","4431","165","165","165","6690","6690","6690","165","165","165","579","579","579","165","165","165","3688","3688","3688","165","165","165","6498","6498","6498","165","165","165","300","300","300","165","165","165","2474","2474","2474","165","165","165","6032","6032","6032"
"42","169","169","169","793","793","793","169","169","169","4440","4440","4440","169","169","169","6724","6724","6724","169","169","169","575","575","575","169","169","169","3705","3705","3705","169","169","169","6513","6513","6513","169","169","169","304","304","304","169","169","169","2500","2500","2500","169","169","169","6040","6040","6040"
"43","173","173","173","812","812","812","173","173","173","4436","4436","4436","173","173","173","6730","6730","6730","173","173","173","571","571","571","173","173","173","3728","3728","3728","173","173","173","6476","6476","6476","173","173","173","297","297","297","173","173","173","2479","2479","2479","173","173","173","6081","6081","6081"
"44","177","177","177","822","822","822","177","177","177","4422","4422","4422","177","177","177","6710","6710","6710","177","177","177","580","580","580","177","177","177","3662","3662","3662","177","177","177","6490","6490","6490","177","177","177","305","305","305","177","177","177","2466","2466","2466","177","177","177","6025","6025","6025"
"45","181","181","181","836","836","836","181","181","181","4480","4480","4480","181","181","181","6678","6678","6678","181","181","181","575","575","575","181","181","181","3698","3698","3698","181","181","181","6492","6492","6492","181","181","181","303","303","303","181","181","181","2489","2489","2489","181","181","181","6046","6046","6046"
"46","185","185","185","830","830","830","185","185","185","4394","4394","4394","185","185","185","6687","6687","6687","185","185","185","578","578","578","185","185","185","3675","3675","3675","185","185","185","6503","6503","6503","185","185","185","307","307","307","185","185","185","2500","2500","2500","185","185","185","6061","6061","6061"
"47","189","189","189","822","822","822","189","189","189","4471","4471","4471","189","189","189","6680","6680","6680","189","189","189","569","569","569","189","189","189","3693","3693","3693","189","189","189","6499","6499","6499","189","189","189","303","303","303","189","189","189","2467","2467","2467","189","189","189","6037","6037","6037"
"48","193","193","193","826","826","826","193","193","193","4466","4466","4466","193","193","193","6728","6728","6728","193","193","193","571","571","571","193","193","193","3682","3682","3682","193","193","193","6515","6515","6515","193","193","193","304","304","304","193","193","193","2447","2447","2447","193","193","193","6043","6043","6043"
"49","197","197","197","836","836","836","197","197","197","4451","4451","4451","197","197","197","6674","6674","6674","197","197","197","580","580","580","197","197","197","3731","3731","3731","197","197","197","6491","6491","6491","197","197","197","304","304","304","197","197","197","2509","2509","2509","197","197","197","6073","6073","6073"
"50","201","201","201","823","823","823","201","201","201","4418","4418","4418","201","201","201","6750","6750","6750","201","201","201","564","564","564","201","201","201","3653","3653","3653","201","201","201","6537","6537","6537","201","201","201","306","306","306","201","201","201","2455","2455","2455","201","201","201","6003","6003","6003"
"51","205","205","205","828","828","828","205","205","205","4459","4459","4459","205","205","205","6668","6668","6668","205","205","205","582","582","582","205","205","205","3714","3714","3714","205","205","205","6449","6449","6449","205","205","205","306","306","306","205","205","205","2495","2495","2495","205","205","205","6047","6047","6047"
"52","209","209","209","837","837","837","209","209","209","4406","4406","4406","209","209","209","6696","6696","6696","209","209","209","583","583","583","209","209","209","3665","3665","3665","209","209","209","6509","6509","6509","209","209","209","304","304","304","209","209","209","2458","2458","2458","209","209","209","6040","6040","6040"
"53","213","213","213","830","830","830","213","213","213","4398","4398","4398","213","213","213","6680","6680","6680","213","213","213","576","576","576","213","213","213","3689","3689","3689","213","213","213","6483","6483","6483","213","213","213","307","307","307","213","213","213","2500","2500","2500","213","213","213","6020","6020","6020"
"54","217","217","217","831","831","831","217","217","217","4403","4403","4403","217","217","217","6735","6735","6735","217","217","217","566","566","566","217","217","217","3710","3710","3710","217","217","217","6496","6496","6496","217","217","217","304","304","304","217","217","217","2477","2477","2477","217","217","217","6024","6024","6024"
"55","221","221","221","824","824","824","221","221","221","4458","4458","4458","221","221","221","6666","6666","6666","221","221","221","575","575","575","221","221","221","3710","3710","3710","221","221","221","6471","6471","6471","221","221","221","306","306","306","221","221","221","2486","2486","2486","221","221","221","6064","6064","6064"
"56","225","225","225","848","848","848","225","225","225","4408","4408","4408","225","225","225","6744","6744","6744","225","225","225","571","571","571","225","225","225","3627","3627","3627","225","225","225","6545","6545","6545","225","225","225","307","307","307","225","225","225","2478","2478","2478","225","225","225","6055","6055","6055"
"57","229","229","229","829","829","829","229","229","229","4447","4447","4447","229","229","229","6661","6661","6661","229","229","229","577","577","577","229","229","229","3741","3741","3741","229","229","229","6467","6467","6467","229","229","229","303","303","303","229","229","229","2503","2503","2503","229","229","229","6041","6041","6041"
"58","233","233","233","828","828","828","233","233","233","4455","4455","4455","233","233","233","6711","6711","6711","233","233","233","581","581","581","233","233","233","3644","3644","3644","233","233","233","6497","6497","6497","233","233","233","301","301","301","233","233","233","2477","2477","2477","233","233","233","6027","6027","6027"
"59","237","237","237","822","822","822","237","237","237","4436","4436","4436","237","237","237","6685","6685","6685","237","237","237","581","581","581","237","237","237","3683","3683","3683","237","237","237","6503","6503","6503","237","237","237","304","304","304","237","237","237","2465","2465","2465","237","237","237","6036","6036","6036"
"60","241","241","241","824","824","824","241","241","241","4475","4475","4475","241","241","241","6729","6729","6729","241","241","241","584","584","584","241","241","241","3713","3713","3713","241","241","241","6511","6511","6511","241","241","241","306","306","306","241","241","241","2459","2459","2459","241","241","241","6032","6032","6032"
"61","245","245","245","829","829","829","245","245","245","4448","4448","4448","245","245","245","6646","6646","6646","245","245","245","579","579","579","245","245","245","3705","3705","3705","245","245","245","6485","6485","6485","245","245","245","303","303","303","245","245","245","2492","2492","2492","245","245","245","6042","6042","6042"
"62","249","249","249","815","815","815","249","249","249","4424","4424","4424","249","249","249","6689","6689","6689","249","249","249","575","575","575","249","249","249","3673","3673","3673","249","249","249","6569","6569","6569","249","249","249","301","301","301","249","249","249","2457","2457","2457","249","249","249","6017","6017","6017"
"63","253","253","253","839","839","839","253","253","253","4479","4479","4479","253","253","253","6684","6684","6684","253","253","253","573","573","573","253","253","253","3754","3754","3754","253","253","253","6487","6487","6487","253","253","253","302","302","302","253","253","253","2473","2473","2473","253","253","253","6019","6019","6019"
"64","257","257","257","841","841","841","257","257","257","4408","4408","4408","257","257","257","6656","6656","6656","257","257","257","590","590","590","257","257","257","3680","3680","3680","257","257","257","6517","6517","6517","257","257","257","300","300","300","257","257","257","2471","2471","2471","257","257","257","6045","6045","6045"
"65","261","261","261","838","838","838","261","261","261","4445","4445","4445","261","261","261","6696","6696","6696","261","261","261","585","585","585","261","261","261","3728","3728","3728","261","261","261","6463","6463","6463","261","261","261","304","304","304","261","261","261","2508","2508","2508","261","261","261","6001","6001","6001"
"66","265","265","265","830","830","830","265","265","265","4422","4422","4422","265","265","265","6684","6684","6684","265","265","265","584","584","584","265","265","265","3715","3715","3715","265","265","265","6536","6536","6536","265","265","265","303","303","303","265","265","265","2485","2485","2485","265","265","265","6031","6031","6031"
"67","269","269","269","843","843","843","269","269","269","4466","4466","4466","269","269","269","6661","6661","6661","269","269","269","584","584","584","269","269","269","3709","3709","3709","269","269","269","6502","6502","6502","269","269","269","303","303","303","269","269","269","2448","2448","2448","269","269","269","6047","6047","6047"
"68","273","273","273","829","829","829","273","273","273","4401","4401","4401","273","273","273","6743","6743","6743","273","273","273","575","575","575","273","273","273","3641","3641","3641","273","273","273","6554","6554","6554","273","273","273","306","306","306","273","273","273","2460","2460","2460","273","273","273","6007","6007","6007"
"69","277","277","277","827","827","827","277","277","277","4454","4454","4454","277","277","277","6675","6675","6675","277","277","277","588","588","588","277","277","277","3749","3749","3749","277","277","277","6506","6506","6506","277","277","277","305","305","305","277","277","277","2479","2479","2479","277","277","277","6037","6037","6037"
"70","281","281","281","832","832","832","281","281","281","4449","4449","4449","281","281","281","6692","6692","6692","281","281","281","587","587","587","281","281","281","3659","3659","3659","281","281","281","6475","6475","6475","281","281","281","304","304","304","281","281","281","2463","2463","2463","281","281","281","6016","6016","6016"
"71","285","285","285","836","836","836","285","285","285","4441","4441","4441","285","285","285","6700","6700","6700","285","285","285","585","585","585","285","285","285","3741","3741","3741","285","285","285","6461","6461","6461","285","285","285","304","304","304","285","285","285","2482","2482","2482","285","285","285","6054","6054","6054"
"72","289","289","289","835","835","835","289","289","289","4432","4432","4432","289","289","289","6660","6660","6660","289","289","289","579","579","579","289","289","289","3712","3712","3712","289","289","289","6515","6515","6515","289","289","289","306","306","306","289","289","289","2448","2448","2448","289","289","289","5998","5998","5998"
"73","293","293","293","846","846","846","293","293","293","4450","4450","4450","293","293","293","6664","6664","6664","293","293","293","583","583","583","293","293","293","3669","3669","3669","293","293","293","6447","6447","6447","293","293","293","305","305","305","293","293","293","2494","2494","2494","293","293","293","6037","6037","6037"
"74","297","297","297","833","833","833","297","297","297","4425","4425","4425","297","297","297","6709","6709","6709","297","297","297","581","581","581","297","297","297","3696","3696","3696","297","297","297","6475","6475","6475","297","297","297","303","303","303","297","297","297","2479","2479","2479","297","297","297","6017","6017","6017"
"75","301","301","301","841","841","841","301","301","301","4529","4529","4529","301","301","301","6674","6674","6674","301","301","301","573","573","573","301","301","301","3756","3756","3756","301","301","301","6444","6444","6444","301","301","301","303","303","303","301","301","301","2493","2493","2493","301","301","301","6055","6055","6055"
"76","305","305","305","837","837","837","305","305","305","4442","4442","4442","305","305","305","6693","6693","6693","305","305","305","579","579","579","305","305","305","3695","3695","3695","305","305","305","6502","6502","6502","305","305","305","304","304","304","305","305","305","2454","2454","2454","305","305","305","5993","5993","5993"
"77","309","309","309","836","836","836","309","309","309","4436","4436","4436","309","309","309","6686","6686","6686","309","309","309","579","579","579","309","309","309","3712","3712","3712","309","309","309","6460","6460","6460","309","309","309","303","303","303","309","309","309","2503","2503","2503","309","309","309","6019","6019","6019"
